date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:06	24814/24814	---M--	200	added ('OK')	text/html	etag:%2260ee-5ca3390b1ad0a%22	https://photoadking.com/images/ig-resources/third_step.webp	C:/scraped%20websites/photoadking/photoadking.com/images/ig-resources/third_step.html	(from https://photoadking.com/create/youtube-intro-maker/)
13:35:06	329414/329414	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/logo/modern/	C:/scraped%20websites/photoadking/photoadking.com/templates/logo/modern/index.html	(from https://photoadking.com/templates/)
13:35:06	329387/329387	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/logo/square/	C:/scraped%20websites/photoadking/photoadking.com/templates/logo/square/index.html	(from https://photoadking.com/templates/)
13:35:06	329459/329459	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/logo/dance/	C:/scraped%20websites/photoadking/photoadking.com/templates/logo/dance/index.html	(from https://photoadking.com/templates/)
13:35:06	329411/329411	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/logo/art/	C:/scraped%20websites/photoadking/photoadking.com/templates/logo/art/index.html	(from https://photoadking.com/templates/)
13:35:07	7794/7794	---M--	200	added ('OK')	text/html	etag:%221e72-5ca3390af1ccb%22	https://photoadking.com/images/Mike-Ross.webp	C:/scraped%20websites/photoadking/photoadking.com/images/Mike-Ross.html	(from https://photoadking.com/create/youtube-intro-maker/)
13:35:07	329438/329438	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/logo/dental/	C:/scraped%20websites/photoadking/photoadking.com/templates/logo/dental/index.html	(from https://photoadking.com/templates/)
13:35:07	329412/329412	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/logo/team/	C:/scraped%20websites/photoadking/photoadking.com/templates/logo/team/index.html	(from https://photoadking.com/templates/)
13:35:07	35274/35274	---M--	200	added ('OK')	image/jpeg	etag:%2289ca-5ca3390af1ccb%22	https://photoadking.com/images/Mike-Ross.jpg	C:/scraped%20websites/photoadking/photoadking.com/images/Mike-Ross.jpg	(from https://photoadking.com/create/youtube-intro-maker/)
13:35:07	329374/329374	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/logo/black-and-white/	C:/scraped%20websites/photoadking/photoadking.com/templates/logo/black-and-white/index.html	(from https://photoadking.com/templates/)
13:35:08	329433/329433	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/logo/fishing/	C:/scraped%20websites/photoadking/photoadking.com/templates/logo/fishing/index.html	(from https://photoadking.com/templates/)
13:35:08	329431/329431	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/logo/cartoon/	C:/scraped%20websites/photoadking/photoadking.com/templates/logo/cartoon/index.html	(from https://photoadking.com/templates/)
13:35:08	10418/10418	---M--	200	added ('OK')	text/html	etag:%2228b2-5ca3390af1ccb%22	https://photoadking.com/images/Nikhil-Sharma.webp	C:/scraped%20websites/photoadking/photoadking.com/images/Nikhil-Sharma.html	(from https://photoadking.com/create/youtube-intro-maker/)
13:35:08	329503/329503	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/logo/marketing/	C:/scraped%20websites/photoadking/photoadking.com/templates/logo/marketing/index.html	(from https://photoadking.com/templates/)
